"LOCATION_ID","lat","long","classification","EVC","EVH","EVT","HUC_08_ID","hli","soilorder","landform","ocs","cc_pct"
"site_249",59.98477851826,-150.873713851149,0,106,110,3677,19020300,200,16,6000,87,65
"site_250",61.9070833947474,-151.039183526484,0,104,110,3677,19020504,0,24,5000,94,45
"site_251",59.3075386255623,-151.658482083356,0,107,110,3644,19020300,0,16,1000,79,75
"site_252",61.8798644416386,-151.743911866876,0,103,110,3677,19020504,100,16,7000,97,35
"site_253",62.3848972943706,-151.134854104243,0,104,109,3679,19020504,0,16,6000,97,45
"site_254",62.2110732868934,-151.356378653307,0,102,110,3679,19020504,0,16,5000,78,25
"site_255",60.7191512630277,-149.044654101153,0,104,110,3644,19020302,200,16,2000,81,45
"site_256",61.7825768963684,-147.871813666207,0,106,110,3603,19020402,0,16,4000,76,65
"site_257",59.7152839330242,-151.429411685906,0,105,110,3679,19020300,200,3,7000,103,55
"site_258",60.5922193133816,-152.572338221891,0,106,110,3679,19020600,100,16,2000,94,65
"site_259",59.8629669657334,-151.435340566781,0,101,110,3677,19020300,0,3,1000,97,15
"site_260",60.9153433210794,-150.372723417196,0,104,109,3679,19020302,100,24,7000,81,45
"site_261",62.1550184131644,-149.643740564133,0,107,110,3677,19020504,100,24,1000,108,75
"site_262",62.3595648033584,-151.409199592013,0,101,109,3601,19020504,0,16,5000,75,15
"site_263",59.7686438609009,-151.163420530278,0,107,110,3677,19020300,200,16,6000,96,75
"site_264",59.2482498168104,-151.61132053094,0,108,110,3644,19020202,200,16,1000,89,85
"site_265",59.7171703951208,-150.647607894136,0,108,110,3679,19020300,100,35,1000,72,85
"site_266",60.5493696743291,-150.204289301423,0,103,110,3677,19020302,200,24,9000,91,35
"site_267",61.6847503619278,-149.192876123033,0,106,110,3600,19020400,100,24,8000,77,65
"site_268",59.9907073991352,-151.269601396861,0,101,109,3679,19020300,200,3,6000,99,15
"site_269",60.9633133572514,-151.66899237218,0,104,109,3679,19020600,0,24,5000,80,45
"site_270",61.7577833945267,-148.542046699689,0,104,110,3679,19020402,200,24,2000,87,45
"site_271",61.5807254520268,-151.678424682664,0,106,110,3679,19020504,200,16,6000,94,65
"site_272",62.0903397127078,-148.191703738882,0,106,110,3603,19020402,200,16,2000,79,65
"site_273",59.4665404308515,-151.479807173345,0,108,111,3644,19020300,200,16,1000,94,85
"site_274",59.9982532475218,-151.201419266796,0,101,109,3679,19020300,0,3,8000,93,15
"site_275",59.3749122718713,-150.707166197473,0,108,110,3644,19020202,200,16,1000,0,85
"site_276",61.7591308674529,-150.734385150582,0,104,109,3679,19020504,200,24,9000,97,45
"site_277",59.718517868047,-151.540173960438,0,101,109,3679,19020300,200,3,4000,102,15
"site_278",61.4748140800291,-151.00037630621,0,104,110,3679,19020600,200,24,4000,108,45
"site_279",61.4645732857901,-150.706896702888,0,103,110,3677,19020504,100,24,7000,110,35
"site_280",59.6856395286482,-151.476303743737,0,104,109,3679,19020300,0,3,3000,101,45
"site_281",61.2813169678297,-151.031098688927,0,104,109,3679,19020600,0,24,5000,85,45
"site_282",59.290021477522,-151.439382985559,0,106,111,3644,19020202,0,16,2000,72,65
"site_283",62.04722057907,-152.043859340243,0,102,110,3679,19020504,200,16,8000,95,25
"site_284",61.5085009031836,-150.005402297519,0,104,109,3679,19020504,100,24,6000,84,45
"site_285",60.0780236447516,-152.588507897005,0,109,110,3644,19020602,100,16,6000,89,95
"site_286",61.1635478340817,-151.684084068953,0,105,110,3679,19020600,200,24,2000,91,55
